agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
confederated salish and kootenai social services division,4,Confederated Salish And Kootenai Social Services Division,work:4 | gave:3 | crisis:2 | practice:2 | experience:2 | assessment:2 | planning:2 | documentation:2 | like:2 | grow:2 | confidence:2 | clients:2 | people:2 | working:2 | intervention:1 | meaningful:1 | direct:1 | safety:1 | reflective:1 | supervision:1,work clients:2 | crisis intervention:1 | intervention work:1 | work gave:1 | gave meaningful:1 | meaningful direct:1 | direct practice:1 | practice experience:1 | experience assessment:1 | assessment safety:1 | safety planning:1 | planning reflective:1 | reflective supervision:1 | supervision strengthened:1 | strengthened understanding:1,times:3 | pace:1 | crisis:1 | work:1 | hard:1 | slow:1 | down:1 | reflect:1 | increased:1 | stress:1 | secondary:1 | trauma:1 | expectations:1 | clear:1 | scheduling:1 | difficult:1 | don:1 | believe:1 | practicum:1 | unhelpful:1,times pace:1 | pace crisis:1 | crisis work:1 | work hard:1 | hard slow:1 | slow down:1 | down reflect:1 | reflect increased:1 | increased stress:1 | stress secondary:1 | secondary trauma:1 | times expectations:1 | expectations clear:1 | scheduling difficult:1 | difficult times:1
connections corrections program,3,Connections Corrections Program,having:1 | agency:1 | fully:1 | formed:1 | lead:1 | interesting:1 | learning:1 | curve:1 | gained:1 | confidence:1 | rapport:1 | building:1 | engagement:1 | clients:1 | over:1 | work:1 | partnership:1 | meetings:1 | program:1 | planning:1,having agency:1 | agency fully:1 | fully formed:1 | formed lead:1 | lead interesting:1 | interesting learning:1 | learning curve:1 | gained confidence:1 | confidence rapport:1 | rapport building:1 | building engagement:1 | engagement clients:1 | clients over:1 | work partnership:1 | partnership meetings:1,fully:2 | having:1 | social:1 | worker:1 | inclination:1 | immersed:1 | nasw:1 | code:1 | ethics:1 | makes:1 | little:1 | difficult:1 | communicate:1 | different:1 | nuances:1 | learning:1 | agreement:1 | times:1 | student:1 | role:1,having social:1 | social worker:1 | worker inclination:1 | inclination immersed:1 | immersed nasw:1 | nasw code:1 | code ethics:1 | ethics makes:1 | makes little:1 | little difficult:1 | difficult fully:1 | fully communicate:1 | communicate different:1 | different nuances:1 | nuances learning:1
core health,6,Core Health,real:2 | exposure:2 | practice:2 | documentation:2 | rapport:2 | group:2 | systems:2 | biggest:1 | help:1 | program:1 | analysis:1 | policy:1 | research:1 | getting:1 | hands:1 | experience:1 | connect:1 | coursework:1 | gained:1 | confidence:1,help real:1 | real exposure:1 | exposure program:1 | program analysis:1 | analysis policy:1 | policy research:1 | getting hands:1 | hands experience:1 | experience connect:1 | connect coursework:1 | coursework practice:1 | practice real:1 | real gained:1 | gained confidence:1 | confidence documentation:1,too:3 | telehealth:3 | admin:2 | work:2 | enough:2 | hands:2 | practice:2 | one:1 | frustration:1 | first:1 | weeks:1 | unstructured:1 | hardest:1 | limited:1 | opportunities:1 | capacity:1 | expected:1 | small:1 | team:1 | unable:1,too admin:2 | admin work:2 | frustration too:1 | first weeks:1 | weeks unstructured:1 | hardest too:1 | limited opportunities:1 | opportunities telehealth:1 | telehealth capacity:1 | capacity expected:1 | small telehealth:1 | telehealth team:1 | team unable:1 | unable shadowing:1 | shadowing experience:1
crime victim advocate program,19,Crime Victim Advocate Program,work:8 | support:6 | practice:5 | helped:5 | learning:5 | community:4 | learn:3 | clients:3 | documentation:3 | build:3 | confidence:3 | outreach:3 | meetings:3 | planning:3 | supervision:3 | gave:2 | enough:2 | direct:2 | tasks:2 | wanted:2,work clients:2 | direct practice:2 | build confidence:2 | learning agreement:2 | agreement less:2 | less abstract:2 | gave flexibility:1 | flexibility work:1 | work projects:1 | projects outside:1 | outside typical:1 | typical job:1 | job duties:1 | interface multitude:1 | multitude agencies:1,work:3 | enough:3 | weeks:3 | practice:3 | difficult:2 | opportunities:2 | than:2 | barriers:2 | hands:2 | first:2 | unstructured:2 | supervision:2 | instead:2 | fewer:2 | tasks:2 | limited:2 | too:2 | job:1 | practicum:1 | emotionally:1,first weeks:2 | weeks unstructured:2 | job practicum:1 | practicum emotionally:1 | emotionally exhausting:1 | exhausting difficult:1 | difficult engage:1 | engage opportunities:1 | opportunities learn:1 | learn than:1 | than already:1 | already knew:1 | knew entering:1 | entering school:1 | school consistent:1
crisis connections,9,Crisis Connections,support:3 | learned:3 | outreach:3 | supervision:3 | work:2 | biggest:2 | help:2 | learn:2 | resource:2 | linkage:2 | debrief:2 | issues:2 | site:2 | crisis:2 | community:2 | mezzo:2 | based:2 | practices:2 | helped:1 | court:1,resource linkage:2 | site learned:2 | helped work:1 | work court:1 | court related:1 | related prep:1 | prep cps:1 | cps coordination:1 | coordination connect:1 | connect class:1 | class content:1 | content practice:1 | help learn:1 | learn resource:1 | linkage hotline:1,practice:4 | instead:3 | enough:2 | went:2 | paperwork:2 | actual:2 | learn:2 | conflict:2 | agencies:2 | manager:2 | first:2 | weeks:2 | unstructured:2 | every:2 | task:2 | too:1 | admin:1 | work:1 | hands:1 | hardest:1,went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | first weeks:2 | weeks unstructured:2 | too admin:1 | admin work:1 | hardest wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | don recall:1
crisis text line,22,Crisis Text Line,meetings:7 | practice:6 | helped:5 | clients:5 | work:4 | support:4 | crisis:4 | systems:4 | community:4 | appreciated:4 | confidence:3 | program:3 | practicum:3 | conversations:3 | experience:3 | learning:3 | understand:3 | affect:3 | service:3 | building:3,helped understand:3 | build confidence:2 | stakeholder meetings:2 | staff welcoming:2 | welcoming treated:2 | treated like:2 | like team:2 | team systems:2 | systems level:2 | level meetings:2 | meetings helped:2 | understand decisions:2 | decisions affect:2 | affect service:2 | service delivery:2,wanted:5 | direct:5 | practice:5 | instead:5 | mostly:5 | observation:5 | practicum:4 | one:4 | hardest:3 | needed:3 | frustration:3 | supervision:3 | work:3 | learning:2 | platform:2 | honestly:2 | group:2 | feedback:2 | harder:2 | beneficial:2,wanted direct:5 | direct practice:5 | practice instead:5 | instead mostly:5 | mostly observation:5 | frustration wanted:2 | practicum role:2 | observation practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | hardest shadowing:1 | shadowing needed:1 | hardest wanted:1 | observation slowed:1
crosswinds recovery,35,Crosswinds Recovery,work:11 | helped:10 | practice:7 | planning:7 | exposure:7 | learned:6 | structure:5 | meetings:5 | advocacy:5 | community:5 | resource:5 | appreciated:4 | clients:4 | case:4 | management:4 | systems:4 | meaningful:4 | gave:4 | coordination:4 | uneven:3,case management:4 | structure uneven:3 | uneven times:3 | helped build:3 | build confidence:3 | macro practice:2 | helped work:2 | safety planning:2 | policy practice:2 | see assessment:2 | assessment intervention:2 | intervention evaluation:2 | evaluation work:2 | work together:2 | helped understand:2,needed:6 | practice:6 | communication:5 | harder:5 | than:4 | quickly:4 | structure:4 | week:4 | changed:4 | instead:4 | fewer:3 | tasks:3 | work:3 | learning:3 | hard:3 | times:3 | one:3 | grow:3 | went:3 | paperwork:3,changed quickly:3 | went paperwork:3 | paperwork instead:3 | instead actual:3 | actual practice:3 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | too admin:2 | admin work:2 | communication gaps:2 | gaps experience:2 | experience harder:2 | harder than:2
curry health center,124,Curry Health Center,practice:54 | work:36 | support:29 | helped:29 | learning:24 | learned:23 | direct:20 | community:19 | planning:19 | appreciated:18 | supervision:16 | confidence:15 | feedback:15 | students:14 | clients:14 | case:13 | build:13 | learn:13 | real:13 | skills:13,direct practice:19 | case management:12 | build confidence:12 | learned direct:7 | practice feedback:7 | helped build:6 | site learned:6 | practice skills:6 | learning agreement:6 | mezzo macro:6 | one one:6 | treatment planning:6 | assessment case:5 | macro practice:5 | safety planning:5,practice:20 | enough:18 | one:18 | work:17 | too:14 | difficult:14 | direct:12 | supervision:12 | times:11 | wanted:10 | admin:9 | scheduling:9 | hardest:9 | frustration:9 | hands:8 | instead:8 | opportunities:7 | than:7 | needed:7 | week:7,too admin:9 | admin work:9 | scheduling difficult:8 | difficult times:8 | direct practice:7 | wanted direct:6 | practice instead:6 | instead mostly:6 | mostly observation:6 | supervision consistent:5 | workflow changed:5 | changed quickly:5 | quickly planning:5 | planning harder:5 | onboarding process:4
david j. thatcher va clinic,10,David J. Thatcher Va Clinic,helped:5 | experience:4 | advocacy:3 | practice:3 | practicum:2 | resource:2 | role:2 | clients:2 | work:2 | build:2 | confidence:2 | included:1 | case:1 | management:1 | instead:1 | observing:1 | actually:1 | see:1 | classroom:1 | material:1,helped build:2 | build confidence:2 | included case:1 | case management:1 | management advocacy:1 | advocacy instead:1 | observing actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1 | appreciated real:1 | real exposure:1 | exposure documentation:1,student:2 | role:2 | practicum:2 | groups:2 | experiences:2 | educational:2 | think:2 | one:1 | frustration:1 | structured:1 | liked:1 | consistency:1 | early:1 | times:1 | expectations:1 | clear:1 | lack:1 | anyone:1 | supervising:1 | probably:1,frustration student:1 | student role:1 | role structured:1 | liked consistency:1 | consistency early:1 | times expectations:1 | expectations clear:1 | lack anyone:1 | anyone supervising:1 | supervising role:1 | role probably:1 | probably great:1 | great idea:1 | idea take:1 | take practicum:1
davidson college,5,Davidson College,practice:3 | helped:2 | policy:2 | see:1 | systems:1 | advocacy:1 | housing:1 | coalition:1 | meetings:1 | close:1 | understand:1 | better:1 | consistent:1 | supervision:1 | feedback:1 | exposure:1 | treatment:1 | planning:1 | understanding:1 | program:1,policy practice:2 | helped see:1 | see systems:1 | systems advocacy:1 | advocacy housing:1 | housing coalition:1 | coalition meetings:1 | meetings close:1 | close helped:1 | helped understand:1 | understand policy:1 | practice better:1 | consistent supervision:1 | supervision feedback:1 | feedback exposure:1,honestly:1 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | placement:1 | improve:1 | onboarding:1 | students:1 | navigating:1 | bureaucratic:1 | systems:1 | long:1 | approval:1 | processes:1 | changing:1 | new:1 | supervisor:1 | halfway:1,honestly went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | placement improve:1 | improve onboarding:1 | onboarding students:1 | navigating bureaucratic:1 | bureaucratic systems:1 | systems long:1 | long approval:1 | approval processes:1 | changing new:1 | new supervisor:1
denver human services,3,Denver Human Services,gained:1 | strong:1 | exposure:1 | crisis:1 | intervention:1 | risk:1 | assessment:1 | supervision:1 | helped:1 | process:1 | difficult:1 | cases:1 | using:1 | ethical:1 | decision:1 | making:1 | framework:1 | having:1 | real:1 | hands:1,gained strong:1 | strong exposure:1 | exposure crisis:1 | crisis intervention:1 | intervention risk:1 | risk assessment:1 | assessment supervision:1 | supervision helped:1 | helped process:1 | process difficult:1 | difficult cases:1 | cases using:1 | using ethical:1 | ethical decision:1 | decision making:1,work:1 | meaningful:1 | level:1 | exposure:1 | trauma:1 | difficult:1 | balance:1 | learning:1 | needs:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1,work meaningful:1 | meaningful level:1 | level exposure:1 | exposure trauma:1 | trauma difficult:1 | difficult balance:1 | balance learning:1 | learning needs:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1
denver public schools,3,Denver Public Schools,helped:2 | understand:2 | connections:1 | students:1 | families:1 | staff:1 | supervision:1 | consistent:1 | gave:1 | useful:1 | feedback:1 | explained:1 | why:1 | behind:1 | work:1 | systems:1 | level:1 | meetings:1 | decisions:1 | affect:1,helped understand:2 | connections students:1 | students families:1 | families staff:1 | supervision consistent:1 | consistent gave:1 | gave useful:1 | useful feedback:1 | feedback explained:1 | explained why:1 | why behind:1 | behind work:1 | work systems:1 | systems level:1 | level meetings:1,juggling:1 | working:1 | here:1 | intern:1 | needed:1 | context:1 | systems:1 | level:1 | meetings:1 | one:1 | frustration:1 | weeks:1 | observational:1 | than:1 | active:1,juggling working:1 | working here:1 | here intern:1 | needed context:1 | context systems:1 | systems level:1 | level meetings:1 | frustration weeks:1 | weeks observational:1 | observational than:1 | than active:1
department of health and human services,18,Department Of Health And Human Services,work:8 | helped:7 | meetings:5 | appreciated:5 | practice:4 | confidence:4 | systems:4 | learned:3 | feedback:3 | build:3 | instead:3 | support:3 | gave:3 | team:3 | community:3 | group:3 | learning:3 | supervision:3 | planning:3 | learn:3,build confidence:3 | learned direct:2 | direct practice:2 | practice feedback:2 | meetings helped:2 | care coordination:2 | instead doing:2 | doing support:2 | support tasks:2 | group work:2 | social justice:2 | systems work:2 | treatment planning:2 | feedback chances:1 | chances documentation:1,needed:4 | fewer:3 | tasks:3 | communication:3 | experience:3 | times:3 | work:3 | slow:2 | client:2 | contact:2 | office:2 | supervision:2 | first:2 | weeks:2 | one:2 | frustration:2 | enough:2 | practicum:2 | challenge:2 | stay:2,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | first weeks:2 | slow periods:1 | periods fewer:1 | fewer tasks:1 | communication gaps:1 | gaps experience:1 | experience harder:1 | harder than:1 | than needed:1 | scheduling shifts:1 | shifts occasionally:1
dewitt rite care clinic,4,Dewitt Rite Care Clinic,tasks:2 | practice:2 | strong:2 | support:2 | clinic:2 | meetings:2 | interprofessional:2 | advocacy:1 | meaningful:1 | connected:1 | micro:1 | mezzo:1 | macro:1 | change:1 | new:1 | directions:1 | supervisor:1 | opportunity:1 | attend:1 | onboarding:1,strong support:2 | advocacy tasks:1 | tasks meaningful:1 | meaningful connected:1 | connected micro:1 | micro practice:1 | practice mezzo:1 | mezzo macro:1 | macro change:1 | support new:1 | new directions:1 | directions supervisor:1 | supervisor opportunity:1 | opportunity attend:1 | attend clinic:1,placement:1 | strong:1 | continuity:1 | harder:1 | academic:1 | calendar:1 | difficulty:1 | getting:1 | feedback:1 | needed:1 | inconsistent:1 | supervision:1,placement strong:1 | strong continuity:1 | continuity harder:1 | harder academic:1 | academic calendar:1 | difficulty getting:1 | getting feedback:1 | feedback needed:1 | inconsistent supervision:1
disability determination services,3,Disability Determination Services,individuals:2 | face:2 | systems:2 | see:1 | different:1 | approach:1 | advocating:1 | working:1 | within:1 | community:1 | state:1 | helping:1 | determination:1 | process:1 | experienced:1 | good:1 | work:1 | done:1 | without:1 | having:1,see different:1 | different approach:1 | approach advocating:1 | advocating working:1 | working within:1 | within community:1 | community state:1 | state helping:1 | helping individuals:1 | individuals determination:1 | determination process:1 | process experienced:1 | experienced good:1 | good work:1 | work done:1,educational:2 | different:2 | aspects:2 | one:2 | nothing:1 | practicum:1 | experience:1 | learned:1 | office:1 | culture:1 | than:1 | experienced:1 | serving:1 | community:1 | social:1 | worker:1 | frustration:1 | supervision:1 | consistent:1 | enough:1,nothing practicum:1 | practicum experience:1 | experience educational:1 | educational learned:1 | learned different:1 | different office:1 | office culture:1 | culture than:1 | than experienced:1 | experienced different:1 | different aspects:1 | aspects serving:1 | serving community:1 | community social:1 | social worker:1
eating disorder center of montana,13,Eating Disorder Center Of Montana,learning:4 | planning:4 | work:4 | learn:4 | systems:4 | understand:4 | helped:3 | program:3 | practice:3 | support:3 | clinical:3 | therapeutic:3 | appreciated:2 | included:2 | policy:2 | instead:2 | observing:2 | resource:2 | referrals:2 | learned:2,resource referrals:2 | systems level:2 | level meetings:2 | meetings helped:2 | helped understand:2 | understand decisions:2 | decisions affect:2 | affect service:2 | service delivery:2 | appreciated included:1 | included legislative:1 | legislative tracking:1 | tracking policy:1 | policy research:1 | research instead:1,practice:5 | supervision:4 | too:3 | work:3 | enough:3 | meetings:3 | shadowing:2 | admin:2 | hands:2 | went:2 | paperwork:2 | instead:2 | actual:2 | harder:2 | first:2 | weeks:2 | team:2 | feeling:2 | practicum:2 | student:2,too admin:2 | admin work:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | shadowing needed:1 | frustration too:1 | practice spent:1 | spent too:1 | too guessing:1 | guessing doing:1 | honestly went:1 | appreciated supervision:1 | supervision exposure:1
eden health,11,Eden Health,work:6 | practicum:6 | practice:6 | helped:5 | confidence:4 | support:4 | see:4 | assessments:3 | build:3 | classroom:3 | systems:3 | documentation:3 | psychosocial:2 | learning:2 | tasks:2 | actually:2 | material:2 | shows:2 | clients:2 | able:2,build confidence:3 | psychosocial assessments:2 | helped build:2 | actually see:2 | see classroom:2 | classroom material:2 | material shows:2 | shows practicum:2 | able see:2 | private practice:2 | work home:1 | home visits:1 | visits psychosocial:1 | assessments helped:1 | component group:1,eden:5 | practice:4 | instead:3 | wanted:3 | health:3 | home:3 | direct:2 | mostly:2 | observation:2 | quickly:2 | hospice:2 | unsafe:2 | environment:2 | hardest:2 | went:1 | paperwork:1 | actual:1 | appreciated:1 | outreach:1 | focus:1,eden home:3 | wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | eden health:2 | hardest wanted:2 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | appreciated outreach:1 | outreach focus:1 | focus liked:1
eduro healthcare,4,Eduro Healthcare,planning:2 | working:2 | biggest:1 | help:1 | work:1 | safety:1 | shift:1 | handoff:1 | connect:1 | class:1 | content:1 | practice:1 | best:1 | exposure:1 | documentation:1 | staff:1 | willing:1 | answer:1 | questions:1 | hands:1,help work:1 | work safety:1 | safety planning:1 | planning shift:1 | shift handoff:1 | handoff connect:1 | connect class:1 | class content:1 | content practice:1 | best exposure:1 | exposure documentation:1 | documentation working:1 | working staff:1 | staff willing:1 | willing answer:1,corporate:2 | hard:1 | knowing:1 | meeting:1 | expectations:1 | placement:1 | improve:1 | onboarding:1 | students:1 | road:1 | blocks:1 | struggle:1 | implement:1 | new:1 | programs:1 | due:1 | side:1 | hardest:1 | went:1 | paperwork:1,hard knowing:1 | knowing meeting:1 | meeting expectations:1 | placement improve:1 | improve onboarding:1 | onboarding students:1 | corporate road:1 | road blocks:1 | blocks struggle:1 | struggle implement:1 | implement new:1 | new programs:1 | programs due:1 | due corporate:1 | corporate side:1
"emily wish, llc",4,"Emily Wish, Llc",work:4 | able:2 | social:2 | gave:2 | systems:2 | helped:2 | bound:1 | ideas:1 | off:1 | workers:1 | counselors:1 | advice:1 | direction:1 | strong:1 | support:1 | useful:1 | feedback:1 | explained:1 | why:1 | behind:1,able bound:1 | bound ideas:1 | ideas off:1 | off social:1 | social workers:1 | workers counselors:1 | counselors advice:1 | advice direction:1 | strong support:1 | support gave:1 | gave useful:1 | useful feedback:1 | feedback explained:1 | explained why:1 | why behind:1,lack:1 | direction:1 | charting:1 | intakes:1 | first:1 | weeks:1 | unstructured:1 | committee:1 | work:1 | abstract:1 | early:1 | times:1 | student:1 | role:1 | fully:1 | defined:1 | expectations:1 | inconsistent:1,lack direction:1 | direction charting:1 | charting intakes:1 | first weeks:1 | weeks unstructured:1 | committee work:1 | work abstract:1 | abstract early:1 | times student:1 | student role:1 | role fully:1 | fully defined:1 | defined expectations:1 | expectations inconsistent:1
empowermt,33,Empowermt,practice:11 | work:11 | helped:8 | planning:8 | community:7 | see:5 | support:5 | policy:5 | appreciated:5 | youth:4 | social:4 | coordination:4 | case:4 | group:4 | groups:3 | learning:3 | systems:3 | connect:3 | class:3 | content:3,connect class:3 | class content:3 | content practice:3 | helped understand:3 | youth groups:2 | helped see:2 | planning policy:2 | strengthened understanding:2 | understanding generalist:2 | generalist practice:2 | practice across:2 | across systems:2 | home visits:2 | safety planning:2 | planning instead:2,work:9 | practice:6 | limited:4 | needed:4 | one:4 | frustration:4 | too:4 | enough:4 | hands:4 | little:3 | than:3 | shadowing:3 | chances:3 | try:3 | skills:3 | instead:3 | wanted:3 | weeks:3 | early:3 | admin:3,shadowing needed:3 | too admin:3 | admin work:3 | emotional intensity:2 | liked consistency:2 | consistency early:2 | frustration too:2 | wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | appreciated micro:1 | micro level:1 | level work:1
encompass community service,10,Encompass Community Service,learning:5 | practice:5 | work:4 | helped:4 | learned:4 | treatment:4 | program:3 | planning:3 | build:3 | clients:3 | biggest:2 | help:2 | navigation:2 | confidence:2 | see:2 | practicum:2 | agreement:2 | direct:2 | addictions:2 | groups:2,help work:2 | program planning:2 | helped build:2 | build confidence:2 | learning agreement:2 | addictions treatment:2 | work care:1 | care navigation:1 | navigation program:1 | planning data:1 | data tracking:1 | tracking helped:1 | confidence actually:1 | actually see:1 | see classroom:1,hardest:3 | needed:3 | difficult:2 | shadowing:2 | chances:2 | try:2 | skills:2 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1 | relapse:1 | crisis:1 | cycles:1 | educational:1 | times:1 | progress:1 | linear:1,shadowing needed:2 | hardest wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | relapse crisis:1 | crisis cycles:1 | cycles educational:1 | educational times:1 | times difficult:1 | difficult progress:1 | progress linear:1 | whole policy:1
fair-mont-egan school,7,Fair-Mont-Egan School,help:2 | group:2 | facilitation:2 | experience:2 | hands:2 | see:2 | biggest:1 | work:1 | shift:1 | handoff:1 | hotline:1 | support:1 | connect:1 | class:1 | content:1 | practice:1 | best:1 | exposure:1 | working:1 | staff:1,group facilitation:2 | help work:1 | work shift:1 | shift handoff:1 | handoff hotline:1 | hotline support:1 | support connect:1 | connect class:1 | class content:1 | content practice:1 | best exposure:1 | exposure group:1 | facilitation working:1 | working staff:1 | staff willing:1,practice:3 | think:3 | too:2 | observation:2 | practicum:2 | honestly:1 | hardest:1 | learning:1 | agreement:1 | reviewed:1 | late:1 | liked:1 | consistent:1 | structure:1 | early:1 | limited:1 | person:1 | staff:1 | real:1 | wanted:1,honestly hardest:1 | hardest learning:1 | learning agreement:1 | agreement reviewed:1 | reviewed too:1 | too late:1 | liked consistent:1 | consistent structure:1 | structure early:1 | limited person:1 | person observation:1 | observation staff:1 | staff real:1 | real practice:1 | wanted direct:1
fairfax behavioral health,3,Fairfax Behavioral Health,provided:2 | group:2 | supervision:2 | support:2 | individual:1 | multiple:1 | training:1 | opportunities:1 | ran:1 | alone:1 | peer:1 | biggest:1 | help:1 | work:1 | safety:1 | planning:1 | mobile:1 | outreach:1 | risk:1 | assessment:1,provided group:1 | group supervision:1 | supervision individual:1 | individual supervision:1 | supervision provided:1 | provided multiple:1 | multiple training:1 | training opportunities:1 | opportunities ran:1 | ran group:1 | group alone:1 | alone peer:1 | peer support:1 | help work:1 | work safety:1,hardest:1 | weeks:1 | observational:1 | than:1 | active:1 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1,hardest weeks:1 | weeks observational:1 | observational than:1 | than active:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1
families first learning lab,21,Families First Learning Lab,work:11 | practice:8 | feedback:6 | helped:5 | community:4 | outreach:4 | skills:4 | connect:3 | class:3 | content:3 | intervention:3 | social:3 | wanted:3 | supervision:3 | case:3 | management:3 | direct:3 | planning:3 | sessions:3 | appreciated:2,connect class:3 | class content:3 | content practice:3 | social work:3 | case management:3 | direct practice:3 | assessments connect:2 | see assessment:2 | unclear role:2 | role too:2 | too long:2 | long wanted:2 | wanted feedback:2 | feedback direct:2 | practice skills:2,contact:4 | instead:4 | practice:4 | hardest:3 | needed:3 | client:3 | fewer:3 | tasks:3 | skills:3 | educational:3 | wanted:3 | office:2 | went:2 | paperwork:2 | actual:2 | practicum:2 | based:2 | work:2 | supervision:2 | times:2,client contact:3 | contact fewer:2 | fewer office:2 | office tasks:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | limited opportunities:2 | opportunities apply:2 | apply skills:2 | skills directly:2 | wanted direct:2 | direct practice:2 | practice instead:2
first step resource center,14,First Step Resource Center,supervision:6 | practice:5 | helped:4 | support:4 | learn:3 | staff:3 | planning:3 | exposure:3 | work:3 | connected:3 | learning:3 | agency:2 | working:2 | help:2 | community:2 | debrief:2 | navigation:2 | systems:2 | advocacy:2 | ask:2,safety planning:2 | dan cravy:1 | cravy agency:1 | agency field:1 | field instructor:1 | instructor outstanding:1 | outstanding supervisor:1 | supervisor say:1 | say enough:1 | enough good:1 | good leadership:1 | leadership style:1 | style embodies:1 | embodies humility:1 | humility listening:1,work:4 | social:3 | church:3 | needed:3 | first:3 | support:3 | weeks:3 | one:2 | doing:2 | practicum:2 | setting:2 | extra:2 | resource:2 | scarcity:2 | waitlists:2 | hard:2 | navigate:2 | strong:2 | advocacy:2 | sarc:2,social work:3 | resource scarcity:2 | scarcity waitlists:2 | waitlists hard:2 | hard navigate:2 | navigate strong:2 | strong advocacy:2 | first weeks:2 | weeks unstructured:2 | one challenges:1 | challenges doing:1 | doing social:1 | work practicum:1 | practicum church:1 | church church:1
fort belknap social services,3,Fort Belknap Social Services,doing:1 | employment:1 | based:1 | practicum:1 | able:1 | hours:1 | working:1 | helped:1 | profession:1 | learned:1 | brief:1 | intervention:1 | work:1 | social:1 | workers:1 | meaningful:1 | use:1 | short:1 | client:1 | contact:1,doing employment:1 | employment based:1 | based practicum:1 | practicum able:1 | able hours:1 | hours working:1 | working helped:1 | helped profession:1 | learned brief:1 | brief intervention:1 | intervention work:1 | work social:1 | social workers:1 | workers meaningful:1 | meaningful use:1,than:2 | ethics:1 | working:1 | under:1 | tribal:1 | politics:1 | follow:1 | cases:1 | longer:1 | rather:1 | seeing:1 | short:1 | term:1 | needs:1 | honestly:1 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1,ethics working:1 | working under:1 | under tribal:1 | tribal politics:1 | follow cases:1 | cases longer:1 | longer rather:1 | rather than:1 | than seeing:1 | seeing short:1 | short term:1 | term needs:1 | honestly wanted:1 | wanted direct:1 | direct practice:1
franklin pierce school district,4,Franklin Pierce School District,family:3 | skills:3 | work:3 | families:2 | resource:2 | taught:2 | challenges:2 | building:2 | provided:2 | clients:2 | learning:2 | tasks:2 | working:1 | immigrant:1 | center:1 | face:1 | like:1 | accessing:1 | resources:1 | connections:1,working immigrant:1 | immigrant families:1 | families family:1 | family resource:1 | resource center:1 | center taught:1 | taught challenges:1 | challenges face:1 | face like:1 | like accessing:1 | accessing resources:1 | resources building:1 | building connections:1 | connections improved:1 | improved cultural:1,educational:2 | learning:2 | practice:2 | wasn:1 | family:1 | resource:1 | center:1 | found:1 | unhelpful:1 | every:1 | experience:1 | contributed:1 | whether:1 | direct:1 | observation:1 | reflection:1 | travel:1 | scheduling:1 | across:1 | sites:1,wasn family:1 | family resource:1 | resource center:1 | center found:1 | found unhelpful:1 | unhelpful educational:1 | educational every:1 | every experience:1 | experience contributed:1 | contributed learning:1 | learning whether:1 | whether direct:1 | direct practice:1 | practice observation:1 | observation reflection:1
friends forever mentoring,3,Friends Forever Mentoring,social:2 | clients:2 | policy:1 | practice:1 | helped:1 | understand:1 | systems:1 | rules:1 | welfare:1 | structures:1 | affect:1 | connected:1 | justice:1 | self:1 | determination:1 | appreciate:1 | taken:1 | strategic:1 | planning:1 | taking:1,policy practice:1 | practice helped:1 | helped understand:1 | understand systems:1 | systems rules:1 | rules social:1 | social welfare:1 | welfare structures:1 | structures affect:1 | affect clients:1 | clients connected:1 | connected social:1 | social justice:1 | justice self:1 | self determination:1,having:1 | fewer:1 | opportunities:1 | direct:1 | service:1 | than:1 | expected:1 | complaints:1 | thus:1 | far:1 | everything:1 | learned:1 | super:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | spent:1 | too:1,having fewer:1 | fewer opportunities:1 | opportunities direct:1 | direct service:1 | service than:1 | than expected:1 | complaints thus:1 | thus far:1 | far everything:1 | everything learned:1 | learned super:1 | shadowing needed:1 | skills spent:1 | spent too:1 | too guessing:1
