academic_year,academic_year_start,agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recommendation_rate,overall_sentiment_score,concern_indicator_count,concern_flag,prepared_for_practice,learning_goals_met,supervision_frequency,supervision_quality,felt_prepared,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,comments_supervisor_polarity,least_helpful_polarity,most_helpful_polarity,other_comments_polarity,recommend_reason_polarity
2017-2018,2017,big sky palliative & hospice,Big Sky Palliative & Hospice,3,sufficient,3.07,0.0,0.2198,2,review recommended,3.33,3.0,3.33,2.67,3.0,3.0,3.33,3.33,2.67,3.67,3.33,3.0,3.33,4.0,0.0,0.0703,0.42,0.4946,0.114
2017-2018,2017,billings public schools,Billings Public Schools,1,limited,1.2,0.0,0.0746,2,review recommended,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,-0.4357,0.17,0.4754,0.2431,-0.0798
2017-2018,2017,bitterroot cares,Bitterroot Cares,1,limited,4.8,1.0,0.5209,0,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,0.7003,0.0,,0.8625
2017-2018,2017,boys and girls club,Boys And Girls Club,2,limited,4.3,1.0,0.2615,0,no flag,4.0,4.5,5.0,3.5,4.5,4.5,4.5,5.0,5.0,4.0,4.5,5.0,3.5,5.0,0.1418,-0.1925,-0.0127,0.488,0.8828
2017-2018,2017,bozeman health deaconess regional medical center,Bozeman Health Deaconess Regional Medical Center,1,limited,1.4,0.0,0.0268,3,review recommended,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.1027,-0.4767,0.5106,0.0,-0.0026
2017-2018,2017,cameron r-1 school district,Cameron R-1 School District,1,limited,4.8,1.0,0.4402,0,no flag,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.3182,0.12,0.765,0.2263,0.7717
2017-2018,2017,casa for children,Casa For Children,1,limited,5.0,1.0,0.3965,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,0.3818,-0.3252,0.8555,0.2263,0.8442
2017-2018,2017,"center for children, families and workforce development","Center For Children, Families And Workforce Development",4,sufficient,3.55,0.75,0.3554,0,no flag,4.0,4.0,3.25,3.0,3.5,4.5,4.0,4.25,4.0,4.25,4.0,3.75,4.0,3.75,0.3398,0.0017,0.5847,0.3062,0.5446
2017-2018,2017,center for restorative youth justice,Center For Restorative Youth Justice,1,limited,3.6,1.0,0.4489,0,no flag,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,0.6486,-0.3252,0.5106,0.6597,0.7506
2017-2018,2017,child and family service department,Child And Family Service Department,7,sufficient,2.94,0.57,0.2059,2,review recommended,2.71,3.0,3.0,2.86,3.14,3.14,3.29,3.29,3.0,3.29,3.14,3.43,3.14,2.71,0.065,-0.1163,0.5027,0.2716,0.3064
2017-2018,2017,city of olympia,City Of Olympia,1,limited,3.0,0.0,0.251,2,review recommended,2.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,-0.1531,0.0,0.4404,0.8422,0.1255
2017-2018,2017,community healthcore,Community Healthcore,1,limited,5.0,1.0,0.344,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.4588,-0.3252,0.6597,0.2263,0.7003
2017-2018,2017,crisis connections,Crisis Connections,1,limited,1.6,0.0,0.1851,2,review recommended,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0258,-0.3252,0.8442,0.4754,-0.0946
2017-2018,2017,crisis text line,Crisis Text Line,4,sufficient,3.3,0.5,0.2939,2,review recommended,3.25,3.75,3.0,3.0,3.5,3.75,4.0,3.5,3.75,4.0,4.0,3.5,3.5,3.25,0.4162,-0.1107,0.4054,0.3414,0.4174
2017-2018,2017,crosswinds recovery,Crosswinds Recovery,1,limited,2.8,0.0,0.5038,2,review recommended,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,5.0,3.0,0.6808,,0.0,0.8422,0.4922
2017-2018,2017,curry health center,Curry Health Center,9,sufficient,3.98,0.78,0.3218,0,no flag,3.89,4.0,4.11,3.78,4.11,4.0,3.78,3.89,3.89,3.78,3.33,3.89,3.67,3.89,0.2341,-0.0598,0.6521,0.3332,0.4493
2017-2018,2017,david j. thatcher va clinic,David J. Thatcher Va Clinic,1,limited,4.2,0.0,0.1779,1,no flag,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0.2263,0.12,0.5106,0.3182,-0.2858
2017-2018,2017,department of health and human services,Department Of Health And Human Services,1,limited,2.4,0.0,0.0855,2,review recommended,3.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,-0.5271,-0.3252,0.8957,0.6597,-0.2755
2017-2018,2017,eduro healthcare,Eduro Healthcare,1,limited,1.4,0.0,0.0276,3,review recommended,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3404,0.0,0.5106,0.2431,-0.2755
2017-2018,2017,empowermt,Empowermt,2,limited,3.1,0.0,0.0578,2,review recommended,3.0,3.0,4.5,2.5,2.5,3.0,3.0,3.0,2.5,3.0,3.5,3.0,3.0,2.0,-0.5372,-0.0616,0.5644,0.125,0.1986
2017-2018,2017,first step resource center,First Step Resource Center,2,limited,3.5,0.5,0.1389,1,no flag,3.5,4.0,3.0,3.5,3.5,4.0,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,0.1286,-0.2012,0.5508,0.6679,-0.4517
2017-2018,2017,fort belknap social services,Fort Belknap Social Services,1,limited,5.0,1.0,0.6905,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,0.8074,0.4215,0.6249,,0.9081
2017-2018,2017,greater valley health center,Greater Valley Health Center,1,limited,4.0,1.0,0.6488,0,no flag,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,,0.5719,0.4019,0.7096,0.9118
2017-2018,2017,hamilton school district 3,Hamilton School District 3,1,limited,2.0,0.0,0.3934,2,review recommended,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,0.2141,0.4588,0.8271,0.2431,0.224
2017-2018,2017,haven,Haven,1,limited,3.2,1.0,0.3218,1,no flag,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,0.4404,-0.3252,0.5106,0.3182,0.6652
2017-2018,2017,helena indian alliance,Helena Indian Alliance,1,limited,4.0,1.0,0.1038,0,no flag,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,-0.2385,-0.3252,0.5106,0.0,0.5719
2017-2018,2017,helena valley addiction services,Helena Valley Addiction Services,1,limited,4.6,1.0,0.2697,0,no flag,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,,-0.8402,0.7089,,0.9403
2017-2018,2017,hopa mountain,Hopa Mountain,1,limited,4.8,1.0,0.3858,0,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,0.3597,0.0,0.0,0.7003,0.8689
2017-2018,2017,intermountain,Intermountain,2,limited,2.9,0.5,0.1179,2,review recommended,1.5,2.5,4.0,3.0,3.5,2.5,3.5,4.0,3.0,3.5,2.5,2.5,3.5,2.5,-0.2382,-0.0258,0.201,0.3768,0.2758
2017-2018,2017,international rescue committee,International Rescue Committee,3,sufficient,3.53,0.67,0.0959,1,no flag,3.67,4.0,3.0,3.33,3.67,3.67,4.33,4.33,4.0,4.0,4.0,4.0,4.0,3.0,0.1554,-0.3252,0.134,0.081,0.4344
2017-2018,2017,logan health medical center,Logan Health Medical Center,2,limited,2.9,0.5,0.2603,2,review recommended,2.5,2.5,3.0,3.0,3.5,3.0,3.0,4.0,2.5,3.5,3.5,3.0,3.5,3.5,0.0962,0.2245,0.6928,0.0,0.2881
2017-2018,2017,missoula alliance church,Missoula Alliance Church,1,limited,4.8,1.0,0.3957,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,0.4404,-0.3252,0.802,0.7003,0.3612
2017-2018,2017,missoula city county health department,Missoula City County Health Department,1,limited,4.8,1.0,0.3548,0,no flag,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.4404,-0.3252,0.8271,0.0,0.8316
2017-2018,2017,missoula early head start,Missoula Early Head Start,1,limited,4.2,1.0,0.5684,0,no flag,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,0.3182,0.0,0.9485,0.7906,0.7845
2017-2018,2017,missoula interfaith collaborative,Missoula Interfaith Collaborative,3,sufficient,3.33,0.67,0.3811,2,review recommended,3.0,3.0,3.33,4.0,3.33,3.0,3.33,3.67,2.67,3.0,3.33,3.33,3.33,3.0,0.5589,-0.0517,0.4645,0.5106,0.4232
2017-2018,2017,missoula parks and recreation,Missoula Parks And Recreation,1,limited,5.0,1.0,0.4746,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.7003,0.12,0.7351,0.0,0.8176
2017-2018,2017,missoula police department,Missoula Police Department,2,limited,4.0,1.0,0.2635,0,no flag,4.0,3.5,4.0,4.0,4.5,3.5,3.5,3.5,2.5,4.0,4.5,3.0,3.5,2.5,-0.3818,-0.1806,0.689,0.3058,0.885
2017-2018,2017,montana 10,Montana 10,1,limited,4.4,1.0,0.6379,0,no flag,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.9366,0.4522,0.8555,0.0,0.9451
2017-2018,2017,montana innocence project,Montana Innocence Project,2,limited,3.2,0.5,0.1839,2,review recommended,3.0,3.0,3.5,3.5,3.0,3.0,4.0,3.0,3.5,3.0,3.5,3.0,3.5,2.5,0.3715,-0.5885,0.6777,0.2782,0.1807
2017-2018,2017,montana judicial branch,Montana Judicial Branch,1,limited,1.2,0.0,0.0769,2,review recommended,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.1027,-0.2516,0.4019,0.7003,-0.3632
2017-2018,2017,montana native women's coalition,Montana Native Women's Coalition,2,limited,4.9,1.0,0.3623,0,no flag,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.5,4.5,4.0,4.0,0.5554,-0.3252,0.6974,0.0,0.8838
2017-2018,2017,montana state hospital,Montana State Hospital,3,sufficient,3.8,0.67,0.1834,1,no flag,3.67,4.0,4.0,3.67,3.67,4.0,4.0,4.0,3.67,4.0,3.33,4.33,3.33,3.67,0.3259,0.0566,0.3743,-0.1504,0.3106
2017-2018,2017,mountain home montana,Mountain Home Montana,1,limited,2.4,0.0,0.3182,2,review recommended,1.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.6486,0.0,0.7501,0.596,-0.4039
2017-2018,2017,partners in home care,Partners In Home Care,2,limited,4.4,1.0,0.3489,0,no flag,4.5,4.5,4.0,4.0,5.0,5.0,5.0,4.0,4.5,4.5,4.0,4.0,4.0,4.0,0.5108,-0.2496,0.6627,0.1591,0.6615
2017-2018,2017,partnership health center,Partnership Health Center,1,limited,2.2,0.0,0.2505,2,review recommended,1.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.7906,-0.6164,0.8271,0.7632,-0.5122
2017-2018,2017,paxson elementary school,Paxson Elementary School,1,limited,5.0,1.0,0.5794,0,no flag,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,,-0.466,0.892,0.9337,0.9578
2017-2018,2017,postpartum resource group,Postpartum Resource Group,1,limited,1.4,0.0,0.0167,3,review recommended,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,-0.3559,-0.0616,0.4019,-0.3007,0.3999
2017-2018,2017,poverello center inc,Poverello Center Inc,2,limited,4.2,0.5,0.513,1,no flag,4.5,4.0,4.5,4.0,4.0,4.0,4.0,4.5,4.0,4.0,3.0,3.5,4.5,4.0,0.7906,0.1132,0.6202,0.5563,0.4849
2017-2018,2017,providence st. joseph medical center,Providence St. Joseph Medical Center,4,sufficient,4.3,0.75,0.3922,0,no flag,4.5,4.5,4.25,4.25,4.0,4.25,4.25,5.0,4.25,4.25,4.5,4.5,4.25,4.0,0.486,-0.0813,0.4707,0.3709,0.7147
2017-2018,2017,ramsey magnet school of science,Ramsey Magnet School Of Science,1,limited,5.0,1.0,0.0406,1,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.4404,-0.3252,-0.2732,0.0,0.3612
2017-2018,2017,reading partners south carolina,Reading Partners South Carolina,2,limited,4.6,0.5,0.4452,1,no flag,4.5,4.5,5.0,4.5,4.5,5.0,4.5,4.5,4.5,4.5,5.0,4.0,4.0,4.0,0.8074,0.0326,0.6488,,0.292
2017-2018,2017,rimrock foundation,Rimrock Foundation,3,sufficient,1.93,0.0,-0.0549,3,review recommended,1.67,2.67,1.33,1.0,3.0,2.67,3.0,3.0,2.67,2.67,3.33,3.0,2.33,2.33,-0.4063,-0.4262,0.6909,0.2323,-0.3651
2017-2018,2017,"rocky mountain development council, inc","Rocky Mountain Development Council, Inc.",1,limited,4.2,1.0,0.3958,0,no flag,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,0.4404,-0.3252,0.5267,0.7003,0.6369
2017-2018,2017,sheridan memorial hospital,Sheridan Memorial Hospital,1,limited,2.4,0.0,-0.2255,3,review recommended,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.4497,0.0,0.0,0.0,-0.6776
2017-2018,2017,sound behavioral health,Sound Behavioral Health,1,limited,4.6,1.0,0.3473,0,no flag,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,,-0.3252,0.4754,0.4215,0.8176
2017-2018,2017,southwest montana community health center,Southwest Montana Community Health Center,1,limited,3.0,1.0,0.3752,1,no flag,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,5.0,2.0,0.4215,0.0,0.3582,0.5106,0.5859
2017-2018,2017,st. patrick hospital,St. Patrick Hospital,3,sufficient,3.6,0.33,0.3742,1,no flag,3.0,3.33,5.0,3.67,3.0,3.0,3.67,3.33,3.33,3.0,3.33,3.0,3.0,3.67,0.6188,-0.0589,0.7464,0.2108,0.3541
2017-2018,2017,student advocacy resource center,Student Advocacy Resource Center,1,limited,2.6,0.0,-0.0436,3,review recommended,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.5023,-0.4019,0.6597,-0.3007,-0.6776
2017-2018,2017,summit independent living,Summit Independent Living,1,limited,4.4,1.0,0.4013,0,no flag,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0.3182,0.12,0.4019,0.2263,0.9403
2017-2018,2017,the refuge,The Refuge,1,limited,2.8,1.0,0.3236,1,no flag,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,-0.164,-0.3252,0.7269,0.596,0.7845
2017-2018,2017,the village,The Village,1,limited,3.6,0.0,0.2237,1,no flag,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.2144,-0.4767,0.7184,0.6652,-0.0026
2017-2018,2017,the webb schools,The Webb Schools,1,limited,3.0,0.0,0.1474,2,review recommended,2.0,2.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0.3818,0.0,0.7184,0.0,-0.3632
2017-2018,2017,trio student support services,Trio Student Support Services,1,limited,2.2,0.0,-0.2241,3,review recommended,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.2144,-0.3252,-0.34,0.0,-0.6698
2017-2018,2017,turning winds,Turning Winds,1,limited,3.4,1.0,0.1876,1,no flag,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,-0.3404,-0.1027,0.6808,0.3182,0.382
2017-2018,2017,victim services program,Victim Services Program,1,limited,4.2,0.0,0.1993,1,no flag,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,0.0,0.7717,,-0.1739
2017-2018,2017,watson children's shelter,Watson Children's Shelter,1,limited,5.0,1.0,0.247,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.7003,-0.5448,0.7184,0.0,0.3612
2017-2018,2017,western montana's lgbtq+ community center,Western Montana's Lgbtq+ Community Center,1,limited,4.6,1.0,0.4418,0,no flag,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,,-0.2263,0.6124,,0.9393
2017-2018,2017,winds of change mental health center,Winds Of Change Mental Health Center,2,limited,3.5,0.5,0.0593,1,no flag,2.5,3.5,5.0,3.5,3.0,3.0,3.0,3.5,3.0,2.5,2.5,3.0,2.5,3.0,-0.0386,-0.1258,0.0362,0.7003,-0.2755
2017-2018,2017,women's resource center,Women's Resource Center,1,limited,2.4,0.0,0.0539,2,review recommended,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,-0.4023,-0.3252,0.6597,0.7003,-0.3632
2017-2018,2017,youth court services,Youth Court Services,1,limited,4.8,1.0,0.4494,0,no flag,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0.5106,0.0,0.8173,0.2944,0.6249
2017-2018,2017,youth crisis center inc,Youth Crisis Center Inc.,2,limited,3.2,0.5,0.2436,2,review recommended,3.0,3.0,4.0,2.5,3.5,3.5,3.0,3.0,3.0,3.0,2.5,3.5,2.5,2.5,0.2296,-0.1578,0.4649,0.494,0.1872
2017-2018,2017,youth dynamics,Youth Dynamics,1,limited,4.8,1.0,0.4617,0,no flag,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,,-0.2263,0.6997,,0.9118
2017-2018,2017,youth homes,Youth Homes,5,sufficient,3.12,0.6,0.3275,2,review recommended,3.2,2.6,3.6,3.4,2.8,3.4,3.2,3.2,2.8,2.8,2.8,3.0,2.4,2.6,0.4065,0.1964,0.4414,0.1741,0.4189
2017-2018,2017,ywca,Ywca,2,limited,2.5,0.0,0.1305,2,review recommended,2.0,2.0,4.0,3.0,1.5,2.0,2.5,2.0,2.0,2.0,2.0,2.5,2.0,1.0,0.1132,-0.1724,0.6807,0.3502,-0.3194
2018-2019,2018,3 rivers mental health center,3 Rivers Mental Health Center,1,limited,4.8,1.0,0.2787,0,no flag,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,-0.6908,0.6997,,0.8271
2018-2019,2018,aaniiih nakoda college,Aaniiih Nakoda College,1,limited,5.0,1.0,0.5893,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.5106,0.1027,0.8357,,0.9081
2018-2019,2018,all nations health center - behaviorial health,All Nations Health Center - Behaviorial Health,1,limited,4.2,0.0,-0.2044,2,review recommended,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,-0.4993,0.4754,,-0.5892
2018-2019,2018,alluvion health,Alluvion Health,1,limited,4.8,0.0,0.0645,1,no flag,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,,-0.25,0.8221,,-0.3786
2018-2019,2018,aspen counseling services,Aspen Counseling Services,1,limited,5.0,1.0,0.586,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,0.069,0.7496,,0.9393
2018-2019,2018,aware inc,Aware Inc.,1,limited,5.0,1.0,0.2872,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0.5106,-0.6908,0.4404,,0.8885
2018-2019,2018,benefis health system,Benefis Health System,2,limited,4.8,1.0,0.512,0,no flag,4.5,4.5,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,4.5,4.5,4.0,4.5,0.5906,0.0,0.5672,,0.8904
2018-2019,2018,big sky palliative & hospice,Big Sky Palliative & Hospice,2,limited,4.8,1.0,0.7333,0,no flag,5.0,4.5,5.0,4.5,5.0,4.5,5.0,5.0,4.5,5.0,5.0,5.0,4.0,5.0,0.6705,0.5232,0.7528,0.8481,0.872
2018-2019,2018,bitterroot cares,Bitterroot Cares,1,limited,4.8,1.0,0.3318,0,no flag,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,0.0,-0.25,0.7501,,0.8271
2018-2019,2018,blackfeet community college,Blackfeet Community College,1,limited,4.4,1.0,0.5194,0,no flag,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8074,-0.4927,0.8122,,0.9509
2018-2019,2018,blaine county school district,Blaine County School District,1,limited,5.0,1.0,0.6003,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,0.17,0.6801,,0.9509
2018-2019,2018,boys and girls club,Boys And Girls Club,1,limited,4.8,0.0,0.26,1,no flag,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,-0.3252,0.743,0.5106,0.3716
2018-2019,2018,bozeman school district 7,Bozeman School District 7,2,limited,4.4,0.5,0.5384,1,no flag,4.5,4.0,4.5,4.5,4.5,4.0,5.0,4.0,3.5,4.0,4.5,4.5,4.5,4.0,0.5106,0.2108,0.5921,0.5106,0.8677
2018-2019,2018,cameron r-1 school district,Cameron R-1 School District,2,limited,4.2,0.5,0.2966,1,no flag,4.5,4.5,4.5,4.0,3.5,3.5,4.0,4.5,4.0,3.5,3.0,3.5,4.0,3.5,,-0.0627,0.7178,0.3698,0.1613
2018-2019,2018,cascade academy,Cascade Academy,1,limited,4.8,1.0,0.2947,0,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,-0.5704,0.8122,,0.9371
2018-2019,2018,catalyst mt,Catalyst Mt,1,limited,4.4,1.0,0.1602,0,no flag,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,-0.743,0.0,0.4215,0.9623
2018-2019,2018,cedar creek integrated health,Cedar Creek Integrated Health,1,limited,4.4,1.0,0.2155,0,no flag,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,-0.4404,0.4754,0.0,0.8271
2018-2019,2018,"center for children, families and workforce development","Center For Children, Families And Workforce Development",3,sufficient,4.13,0.67,0.3925,1,no flag,4.33,4.0,3.67,4.67,4.0,4.33,4.33,4.67,3.67,4.33,3.67,4.33,4.33,4.0,0.3352,-0.313,0.7294,0.5106,0.7003
2018-2019,2018,center for restorative youth justice,Center For Restorative Youth Justice,2,limited,4.4,1.0,0.6014,0,no flag,5.0,5.0,4.0,3.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,0.5106,0.4282,0.7304,0.5106,0.8271
2018-2019,2018,cheyenne regional behavioral health,Cheyenne Regional Behavioral Health,1,limited,5.0,1.0,0.4785,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.6705,0.4215,-0.1289,,0.9509
2018-2019,2018,child and family service department,Child And Family Service Department,5,sufficient,4.52,0.4,0.2165,1,no flag,4.4,4.6,4.8,4.2,4.6,4.8,4.6,4.4,4.4,4.4,4.0,4.4,4.2,4.6,0.3299,-0.1638,0.567,0.2263,0.1229
2018-2019,2018,city of olympia,City Of Olympia,1,limited,5.0,1.0,0.6209,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,0.4215,0.8439,0.3182,0.9001
2018-2019,2018,clark fork valley hospital & family medicine network,Clark Fork Valley Hospital & Family Medicine Network,1,limited,4.2,0.0,0.1053,1,no flag,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,,0.359,0.4019,,-0.4449
2018-2019,2018,community medical center,Community Medical Center,2,limited,4.7,0.5,0.5216,1,no flag,5.0,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.5,5.0,0.739,0.1937,0.8148,,0.339
2018-2019,2018,community safety network,Community Safety Network,1,limited,5.0,1.0,0.3959,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,0.4404,0.12,0.8316,0.2263,0.3612
2018-2019,2018,confederated salish and kootenai social services division,Confederated Salish And Kootenai Social Services Division,1,limited,4.8,1.0,0.1729,0,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,-0.8402,0.4703,,0.8885
2018-2019,2018,crisis text line,Crisis Text Line,1,limited,4.4,1.0,0.4028,0,no flag,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,,-0.4927,0.7501,,0.9509
2018-2019,2018,crosswinds recovery,Crosswinds Recovery,3,sufficient,4.6,1.0,0.4781,0,no flag,5.0,5.0,4.67,4.33,4.0,5.0,5.0,5.0,4.33,4.33,4.67,5.0,5.0,4.67,0.0,0.0724,0.5436,0.8481,0.9262
2018-2019,2018,curry health center,Curry Health Center,7,sufficient,4.37,0.57,0.3561,1,no flag,4.0,4.71,4.43,4.57,4.14,4.29,4.71,4.57,4.71,4.43,4.57,4.29,3.86,4.43,0.2553,-0.1153,0.5323,0.6715,0.4366
2018-2019,2018,davidson college,Davidson College,1,limited,4.8,1.0,0.499,0,no flag,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,0.1945,0.4754,,0.8271
