agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
missoula city county health department,Missoula City County Health Department,5,sufficient,3.88,,stable,17.8,0.4,0.2587,88.86,1,no flag,no flag,0.3769,0.0203,20.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,60.0,20.0,40.0,0.0,helped:4 | community:2 | practice:2 | resource:2 | great:1 | opportunity:1 | interview:1 | various:1 | stakeholders:1 | missoula:1 | intakes:1 | experience:1 | supervision:1 | connected:1 | classroom:1 | learning:1 | appreciated:1 | work:1 | iep:1 | meetings:1,great opportunity:1 | opportunity interview:1 | interview various:1 | various stakeholders:1 | stakeholders missoula:1 | missoula community:1 | intakes experience:1 | experience supervision:1 | supervision connected:1 | connected classroom:1 | classroom learning:1 | learning practice:1 | appreciated work:1 | work iep:1 | iep meetings:1,practice:2 | downtime:1 | interesting:1 | having:1 | supervisor:1 | social:1 | worker:1 | placement:1 | improve:1 | onboarding:1 | students:1 | wanted:1 | little:1 | independent:1 | documentation:1 | burden:1 | manageable:1 | reduce:1 | flexibility:1 | learning:1,downtime interesting:1 | interesting having:1 | having supervisor:1 | supervisor social:1 | social worker:1 | placement improve:1 | improve onboarding:1 | onboarding students:1 | wanted little:1 | little independent:1 | independent practice:1 | documentation burden:1 | burden manageable:1 | manageable reduce:1 | reduce flexibility:1,3.6,4.0,3.8,3.2,3.8,3.6,3.6,3.6,3.8,4.0,3.8,4.0,3.8,3.8,0.223,0.3176,0.3559,86.01,89.55,91.99,90.86,87.25,86.89,89.37,88.92,88.86
mountain home montana,Mountain Home Montana,13,sufficient,3.89,4.6,improving,22.7,0.69,0.3303,88.96,1,no flag,no flag,0.5493,-0.0554,53.8,0.0,23.1,40.0,7.7,20.0,23.1,20.0,46.2,20.0,15.4,0.0,work:6 | practice:6 | assessment:3 | helped:3 | better:3 | clients:3 | help:3 | supervision:3 | appreciated:2 | case:2 | management:2 | direct:2 | see:2 | learning:2 | planning:2 | community:2 | understand:2 | gave:2 | sense:2 | biggest:2,case management:2 | direct practice:2 | helped understand:2 | gave better:2 | better sense:2 | family outreach:2 | appreciated trusted:1 | trusted assessment:1 | assessment work:1 | work seeing:1 | seeing assessment:1 | assessment informs:1 | informs case:1 | management direct:1 | practice see:1,client:2 | practice:2 | instead:2 | work:2 | documentation:1 | important:1 | occasionally:1 | overshadowed:1 | interaction:1 | starting:1 | rcc:1 | position:1 | covering:1 | overnight:1 | weekend:1 | shifts:1 | pretty:1 | separate:1 | programming:1 | site:1,documentation important:1 | important occasionally:1 | occasionally overshadowed:1 | overshadowed client:1 | client interaction:1 | starting rcc:1 | rcc position:1 | position covering:1 | covering overnight:1 | overnight weekend:1 | weekend shifts:1 | shifts pretty:1 | pretty separate:1 | separate programming:1 | programming site:1,3.69,3.85,3.92,3.77,3.85,3.54,3.92,3.92,3.38,3.31,3.85,3.85,4.31,4.15,0.2841,0.4776,0.3961,87.36,89.19,88.9,89.18,88.22,88.74,89.86,89.36,89.86
david j. thatcher va clinic,David J. Thatcher Va Clinic,10,sufficient,3.9,4.2,improving,19.8,0.6,0.2898,88.36,1,no flag,no flag,0.4818,-0.1481,10.0,0.0,30.0,10.0,10.0,10.0,10.0,30.0,50.0,30.0,40.0,0.0,helped:5 | experience:4 | advocacy:3 | practice:3 | practicum:2 | resource:2 | role:2 | clients:2 | work:2 | build:2 | confidence:2 | included:1 | case:1 | management:1 | instead:1 | observing:1 | actually:1 | see:1 | classroom:1 | material:1,helped build:2 | build confidence:2 | included case:1 | case management:1 | management advocacy:1 | advocacy instead:1 | observing actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1 | appreciated real:1 | real exposure:1 | exposure documentation:1,student:2 | role:2 | practicum:2 | groups:2 | experiences:2 | educational:2 | think:2 | frustration:1 | structured:1 | liked:1 | consistency:1 | early:1 | times:1 | expectations:1 | clear:1 | lack:1 | anyone:1 | supervising:1 | probably:1 | great:1,frustration student:1 | student role:1 | role structured:1 | liked consistency:1 | consistency early:1 | times expectations:1 | expectations clear:1 | lack anyone:1 | anyone supervising:1 | supervising role:1 | role probably:1 | probably great:1 | great idea:1 | idea take:1 | take practicum:1,3.7,4.3,3.8,3.5,3.7,3.8,3.9,3.6,4.0,3.7,3.7,3.8,4.2,4.1,0.2419,0.5325,0.3409,84.6,89.74,86.77,90.35,84.52,86.63,91.02,90.79,90.79
st. patrick hospital,St. Patrick Hospital,41,sufficient,3.9,3.79,stable,21.0,0.63,0.326,89.54,1,no flag,no flag,0.5306,0.0654,24.4,10.8,24.4,24.3,4.9,18.9,9.8,18.9,53.7,16.2,24.4,0.0,helped:13 | practice:13 | work:8 | systems:8 | planning:7 | learning:7 | meetings:7 | social:5 | team:5 | support:5 | care:5 | confidence:5 | direct:5 | opportunities:5 | appreciated:4 | feedback:4 | skills:4 | advocacy:4 | rapport:4 | experience:4,chart review:3 | helped work:3 | connect class:3 | class content:3 | content practice:3 | interdisciplinary team:3 | build confidence:3 | direct practice:3 | helped understand:3 | rapport building:3 | social workers:2 | helped included:2 | safety planning:2 | real exposure:2 | discharge planning:2,practice:10 | work:6 | wanted:6 | direct:5 | instead:5 | frustration:4 | mostly:4 | observation:4 | hardest:4 | enough:4 | hands:4 | shadowing:4 | placement:4 | times:4 | harder:3 | needed:3 | chances:3 | skills:3 | opportunities:3 | client:3,wanted direct:4 | direct practice:4 | practice instead:4 | instead mostly:4 | mostly observation:4 | hardest wanted:2 | admin work:2 | shadowing needed:2 | liked consistency:2 | consistency early:2 | changed quickly:2 | work valuable:1 | valuable emotionally:1 | emotionally intense:1 | intense crisis:1,3.68,3.85,3.98,3.68,3.95,3.73,3.63,3.8,3.61,3.7,3.98,3.71,4.05,4.05,0.2846,0.3649,0.3847,90.06,89.83,89.29,88.78,88.35,89.6,91.95,89.17,88.8
department of health and human services,Department Of Health And Human Services,18,sufficient,3.91,4.04,stable,24.8,0.78,0.3561,91.0,1,no flag,no flag,0.6022,-0.1595,33.3,25.0,33.3,18.8,5.6,18.8,16.7,25.0,61.1,6.2,33.3,0.0,work:8 | helped:7 | meetings:5 | appreciated:5 | practice:4 | confidence:4 | systems:4 | learned:3 | feedback:3 | build:3 | instead:3 | support:3 | gave:3 | team:3 | community:3 | group:3 | learning:3 | supervision:3 | planning:3 | learn:3,build confidence:3 | learned direct:2 | direct practice:2 | practice feedback:2 | meetings helped:2 | care coordination:2 | instead doing:2 | doing support:2 | support tasks:2 | group work:2 | social justice:2 | systems work:2 | treatment planning:2 | feedback chances:1 | chances documentation:1,needed:4 | fewer:3 | tasks:3 | communication:3 | experience:3 | times:3 | work:3 | slow:2 | client:2 | contact:2 | office:2 | supervision:2 | first:2 | weeks:2 | frustration:2 | enough:2 | practicum:2 | challenge:2 | stay:2 | outside:2,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | first weeks:2 | slow periods:1 | periods fewer:1 | fewer tasks:1 | communication gaps:1 | gaps experience:1 | experience harder:1 | harder than:1 | than needed:1 | scheduling shifts:1 | shifts occasionally:1,3.83,4.28,3.94,3.67,3.89,4.06,3.78,3.67,3.44,4.0,3.61,3.78,4.28,3.89,0.3966,0.443,0.4981,90.49,92.02,89.86,90.67,90.52,91.71,93.18,91.38,89.2
paris gibson alternative education,Paris Gibson Alternative Education,4,sufficient,3.95,3.0,declining,31.5,0.75,0.3185,89.9,1,no flag,no flag,0.6312,-0.1733,25.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,25.0,0.0,50.0,0.0,practicum:3 | experience:3 | agency:2 | able:2 | work:2 | different:2 | real:2 | appreciated:2 | exposure:2 | here:1 | population:1 | people:1 | another:1 | gain:1 | rapport:1 | building:1 | skills:1 | clients:1 | offered:1 | several:1,practicum experience:2 | experience here:1 | here agency:1 | agency able:1 | able work:1 | work population:1 | population people:1 | people work:1 | work another:1 | another practicum:1 | experience able:1 | able gain:1 | gain rapport:1 | rapport building:1 | building skills:1,try:2 | work:2 | needed:2 | client:2 | contact:2 | fewer:2 | office:2 | tasks:2 | encountered:1 | here:1 | practicum:1 | agency:1 | ability:1 | keep:1 | fast:1 | past:1 | environment:1 | found:1 | difficult:1 | continuous:1,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | encountered here:1 | here practicum:1 | practicum agency:1 | agency ability:1 | ability try:1 | try keep:1 | keep fast:1 | fast past:1 | past environment:1 | environment found:1 | found difficult:1,3.75,4.25,4.0,4.25,3.75,3.5,4.0,3.5,3.5,3.75,4.25,3.75,3.75,4.25,0.4216,0.3652,0.3478,84.6,91.96,90.92,92.22,90.03,88.64,90.65,91.9,88.18
cedar creek integrated health,Cedar Creek Integrated Health,16,sufficient,3.96,4.0,stable,27.3,0.62,0.3674,89.35,1,no flag,no flag,0.4895,-0.0339,31.2,6.2,50.0,6.2,0.0,0.0,6.2,18.8,56.2,25.0,50.0,0.0,meetings:8 | work:8 | exposure:6 | community:5 | clients:5 | practice:5 | learned:4 | able:4 | direct:4 | systems:3 | gave:3 | client:3 | resource:3 | strong:3 | rapport:3 | weekly:3 | evaluation:3 | planning:2 | partnerships:2 | field:2,direct practice:3 | evaluation work:3 | work community:2 | community partnerships:2 | community meetings:2 | strong exposure:2 | exposure direct:2 | practice learned:2 | learned build:2 | build rapport:2 | rapport clients:2 | cedar creek:2 | creek weekly:2 | see assessment:2 | assessment intervention:2,agency:4 | times:4 | learning:2 | concerns:2 | onboarding:2 | process:2 | clearer:2 | early:2 | expectations:2 | clear:2 | opportunity:2 | case:2 | limited:2 | wanted:1 | clarity:1 | role:1 | goals:1 | cannot:1 | determine:1 | practicum:1,onboarding process:2 | process clearer:2 | times expectations:2 | expectations clear:2 | wanted clarity:1 | clarity role:1 | role learning:1 | learning goals:1 | cannot determine:1 | practicum agency:1 | agency structural:1 | structural challenges:1 | challenges lack:1 | lack guidance:1 | guidance support:1,3.81,4.06,3.94,3.75,3.75,4.0,4.0,3.62,3.75,3.75,4.0,4.25,3.75,4.06,0.459,0.32,0.6024,90.17,90.38,88.68,89.4,88.17,89.15,90.05,88.71,89.43
fairfax behavioral health,Fairfax Behavioral Health,3,sufficient,4.0,4.8,improving,26.7,0.67,0.3329,91.8,1,no flag,no flag,0.7965,0.0635,33.3,0.0,33.3,50.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,provided:2 | group:2 | supervision:2 | support:2 | individual:1 | multiple:1 | training:1 | opportunities:1 | ran:1 | alone:1 | peer:1 | biggest:1 | help:1 | work:1 | safety:1 | planning:1 | mobile:1 | outreach:1 | risk:1 | assessment:1,provided group:1 | group supervision:1 | supervision individual:1 | individual supervision:1 | supervision provided:1 | provided multiple:1 | multiple training:1 | training opportunities:1 | opportunities ran:1 | ran group:1 | group alone:1 | alone peer:1 | peer support:1 | help work:1 | work safety:1,hardest:1 | weeks:1 | observational:1 | than:1 | active:1 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1,hardest weeks:1 | weeks observational:1 | observational than:1 | than active:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1,3.67,4.0,4.0,3.67,3.67,3.67,4.0,3.67,3.67,3.67,4.0,4.0,4.0,4.33,0.6337,-0.0372,0.2082,89.18,92.54,93.12,92.31,90.78,94.17,94.64,88.96,90.51
mental health coalition of teton valley,Mental Health Coalition Of Teton Valley,4,sufficient,4.0,4.4,improving,30.5,0.75,0.3234,88.89,1,no flag,no flag,0.4996,-0.0217,75.0,25.0,50.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,practicum:3 | real:2 | practice:2 | appreciated:1 | learn:1 | crisis:1 | support:1 | resource:1 | referrals:1 | debrief:1 | educational:1 | agency:1 | supervision:1 | sara:1 | review:1 | happened:1 | week:1 | ask:1 | questions:1 | field:1,appreciated learn:1 | learn crisis:1 | crisis support:1 | support resource:1 | resource referrals:1 | referrals debrief:1 | educational practicum:1 | practicum practicum:1 | practicum agency:1 | agency supervision:1 | supervision sara:1 | sara review:1 | review happened:1 | happened week:1 | week ask:1,client:3 | wasn:2 | educational:2 | lack:2 | theories:2 | didn:2 | work:2 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1 | wouldn:1 | describe:1 | truly:1 | unhelpful:1 | opportunities:1 | further:1 | explore:1,client work:2 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | wasn educational:1 | educational wouldn:1 | wouldn describe:1 | describe truly:1 | truly unhelpful:1 | unhelpful educational:1 | educational lack:1 | lack opportunities:1 | opportunities further:1,4.5,4.25,4.5,4.5,3.5,3.75,4.5,4.25,4.25,3.75,3.75,4.25,4.25,4.0,0.5044,0.2935,0.3412,92.61,89.22,83.08,87.29,87.54,90.42,94.08,85.43,90.34
seneca family of agencies mosaic program,Seneca Family Of Agencies Mosaic Program,3,sufficient,4.0,,stable,12.7,0.67,0.3729,90.8,1,no flag,no flag,0.5369,0.0321,33.3,0.0,33.3,33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,coordination:2 | appreciated:1 | real:1 | exposure:1 | home:1 | visits:1 | aps:1 | weekly:1 | didactic:1 | supervision:1 | opportunities:1 | biggest:1 | help:1 | work:1 | documentation:1 | peer:1 | helped:1 | build:1 | confidence:1,appreciated real:1 | real exposure:1 | exposure home:1 | home visits:1 | visits aps:1 | aps coordination:1 | weekly didactic:1 | didactic supervision:1 | supervision opportunities:1 | help work:1 | work documentation:1 | documentation peer:1 | peer coordination:1 | coordination helped:1 | helped build:1,hardest:1 | liked:1 | consistency:1 | early:1 | nothing:1 | admin:1 | work:1 | enough:1 | hands:1 | practice:1,hardest liked:1 | liked consistency:1 | consistency early:1 | admin work:1,3.67,4.0,3.67,3.67,3.67,3.33,3.67,3.33,3.67,3.67,3.67,3.67,4.67,4.33,0.4972,0.5064,0.292,84.33,92.78,94.48,92.73,93.24,90.57,90.12,92.22,86.7
virtually assisted school team,Virtually Assisted School Team,3,sufficient,4.0,3.5,declining,28.0,1.0,0.468,91.16,1,no flag,no flag,0.7444,0.1748,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,telehealth:2 | online:2 | help:2 | planning:2 | practicum:1 | technology:1 | engage:1 | clients:1 | think:1 | good:1 | fit:1 | learning:1 | create:1 | acitivites:1 | behavioral:1 | health:1 | best:1 | experiences:1 | social:1 | work:1,practicum telehealth:1 | telehealth technology:1 | technology engage:1 | engage clients:1 | clients online:1 | online think:1 | think telehealth:1 | telehealth good:1 | good fit:1 | fit learning:1 | learning create:1 | create online:1 | online acitivites:1 | acitivites help:1 | help behavioral:1,weeks:2 | think:1 | helped:1 | known:1 | little:1 | bit:1 | grant:1 | why:1 | sessions:1 | tracked:1 | frustration:1 | observational:1 | than:1 | active:1 | feedback:1 | came:1 | late:1 | useful:1,think helped:1 | helped known:1 | known little:1 | little bit:1 | bit grant:1 | grant why:1 | why sessions:1 | sessions tracked:1 | frustration weeks:1 | weeks observational:1 | observational than:1 | than active:1 | feedback came:1 | came late:1 | late useful:1,4.33,4.33,4.67,4.33,4.33,4.67,5.0,4.33,4.67,4.67,3.67,4.0,3.67,4.0,0.5034,0.1472,0.7701,88.34,94.29,94.48,91.59,93.24,92.84,88.98,92.22,84.42
soft landing missoula,Soft Landing Missoula,8,sufficient,4.05,4.8,improving,30.2,0.62,0.4102,88.15,1,no flag,no flag,0.6046,-0.0785,37.5,0.0,37.5,16.7,12.5,16.7,12.5,50.0,37.5,16.7,25.0,0.0,helped:3 | agency:2 | apply:2 | practice:2 | intervention:2 | supervision:2 | valuable:2 | feedback:2 | team:2 | planning:2 | resource:2 | exposure:2 | support:2 | educational:1 | aspects:1 | practicum:1 | opportunity:1 | classroom:1 | knowledge:1 | real:1,educational aspects:1 | aspects practicum:1 | practicum agency:1 | agency opportunity:1 | opportunity apply:1 | apply classroom:1 | classroom knowledge:1 | knowledge real:1 | real world:1 | world settings:1 | settings supported:1 | supported experienced:1 | experienced supervisors:1 | supervisors colleagues:1 | colleagues able:1,structure:2 | limited:2 | practice:2 | work:2 | occasional:1 | lack:1 | certain:1 | projects:1 | tasks:1 | times:1 | clarity:1 | expectations:1 | deadlines:1 | challenging:1 | prioritize:1 | fully:1 | understand:1 | purpose:1 | assignments:1 | push:1,occasional lack:1 | lack structure:1 | structure certain:1 | certain projects:1 | projects tasks:1 | tasks times:1 | times limited:1 | limited clarity:1 | clarity expectations:1 | expectations deadlines:1 | deadlines challenging:1 | challenging prioritize:1 | prioritize fully:1 | fully understand:1 | understand purpose:1,3.62,3.88,3.75,3.88,3.88,3.38,4.0,3.25,3.38,3.62,4.25,4.0,4.12,4.25,0.485,0.5523,0.4876,89.59,86.76,85.89,86.65,87.62,88.26,90.69,88.65,89.22
yellowstone boys and girls ranch,Yellowstone Boys And Girls Ranch,4,sufficient,4.05,,stable,28.0,0.75,0.3056,90.47,1,no flag,no flag,0.5482,-0.1154,0.0,25.0,25.0,25.0,50.0,25.0,0.0,75.0,50.0,0.0,50.0,50.0,practice:4 | helped:2 | enough:2 | tasks:2 | strong:1 | support:1 | connect:1 | coursework:1 | real:1 | systems:1 | level:1 | meetings:1 | understand:1 | decisions:1 | affect:1 | service:1 | delivery:1 | direct:1 | experience:1 | client:1,strong support:1 | support connect:1 | connect coursework:1 | coursework practice:1 | practice real:1 | real systems:1 | systems level:1 | level meetings:1 | meetings helped:1 | helped understand:1 | understand decisions:1 | decisions affect:1 | affect service:1 | service delivery:1 | enough direct:1,work:3 | policy:2 | first:2 | harder:1 | understand:1 | weeks:1 | unstructured:1 | admin:1 | enough:1 | client:1 | contact:1 | unclear:1 | expectations:1 | start:1 | wasn:1 | able:1 | engage:1 | within:1 | practicum:1 | think:1,policy work:2 | work harder:1 | harder understand:1 | understand first:1 | first first:1 | first weeks:1 | weeks unstructured:1 | admin work:1 | enough client:1 | client contact:1 | contact unclear:1 | unclear expectations:1 | expectations start:1 | wasn able:1 | able engage:1,3.75,4.25,4.0,4.25,4.25,4.0,5.0,4.0,4.25,3.75,4.0,4.25,4.0,4.25,0.3202,0.414,0.361,94.01,92.6,91.2,90.15,87.53,93.48,91.62,84.81,88.84
city of olympia,City Of Olympia,6,sufficient,4.07,4.75,improving,17.3,0.83,0.3248,88.02,1,no flag,no flag,0.4356,0.0072,33.3,60.0,50.0,20.0,16.7,0.0,16.7,40.0,50.0,20.0,16.7,0.0,learning:2 | social:2 | learned:2 | exposure:2 | helped:2 | practice:2 | macro:1 | leveled:1 | work:1 | justice:1 | driven:1 | environment:1 | quite:1 | bit:1 | needed:1 | direction:1 | meaningful:1 | depended:1 | supervision:1 | actually:1,learning macro:1 | macro leveled:1 | leveled social:1 | social work:1 | work social:1 | social justice:1 | justice driven:1 | driven environment:1 | learned quite:1 | quite bit:1 | bit needed:1 | needed direction:1 | direction meaningful:1 | meaningful exposure:1 | exposure depended:1,enough:2 | shifting:1 | unorganized:1 | aspects:1 | times:1 | incredibly:1 | stressful:1 | limited:1 | opportunities:1 | apply:1 | skills:1 | directly:1 | consistent:1 | supervision:1 | hardest:1 | check:1 | ins:1 | steady:1 | amount:1 | responsibility:1,shifting unorganized:1 | unorganized aspects:1 | aspects times:1 | times incredibly:1 | incredibly stressful:1 | limited opportunities:1 | opportunities apply:1 | apply skills:1 | skills directly:1 | enough consistent:1 | consistent supervision:1 | hardest check:1 | check ins:1 | ins steady:1 | steady enough:1,3.67,4.33,3.33,4.0,4.0,4.17,3.83,4.67,3.0,4.2,4.0,4.17,4.5,3.5,0.1758,0.4967,0.5085,91.58,87.3,87.2,84.82,87.06,88.99,91.1,87.97,86.15
core health,Core Health,6,sufficient,4.07,3.7,declining,22.2,0.83,0.4407,90.29,1,no flag,no flag,0.6381,0.1064,33.3,0.0,50.0,33.3,0.0,66.7,0.0,16.7,33.3,33.3,16.7,0.0,real:2 | exposure:2 | practice:2 | documentation:2 | rapport:2 | group:2 | systems:2 | biggest:1 | help:1 | program:1 | analysis:1 | policy:1 | research:1 | getting:1 | hands:1 | experience:1 | connect:1 | coursework:1 | gained:1 | confidence:1,help real:1 | real exposure:1 | exposure program:1 | program analysis:1 | analysis policy:1 | policy research:1 | getting hands:1 | hands experience:1 | experience connect:1 | connect coursework:1 | coursework practice:1 | practice real:1 | real gained:1 | gained confidence:1 | confidence documentation:1,telehealth:3 | admin:2 | work:2 | enough:2 | hands:2 | practice:2 | frustration:1 | first:1 | weeks:1 | unstructured:1 | hardest:1 | limited:1 | opportunities:1 | capacity:1 | expected:1 | small:1 | team:1 | unable:1 | shadowing:1 | experience:1,admin work:2 | frustration admin:1 | first weeks:1 | weeks unstructured:1 | hardest admin:1 | limited opportunities:1 | opportunities telehealth:1 | telehealth capacity:1 | capacity expected:1 | small telehealth:1 | telehealth team:1 | team unable:1 | unable shadowing:1 | shadowing experience:1 | experience liked:1,4.33,4.17,4.0,4.17,4.33,4.0,4.17,4.67,4.0,3.5,4.33,4.17,4.0,4.33,0.4545,0.3124,0.6919,91.16,92.09,87.67,87.82,90.08,93.44,92.02,88.0,90.33
fort belknap social services,Fort Belknap Social Services,3,sufficient,4.07,,stable,23.0,0.67,0.2991,91.53,1,no flag,no flag,0.4415,0.1972,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,doing:1 | employment:1 | based:1 | practicum:1 | able:1 | hours:1 | working:1 | helped:1 | profession:1 | learned:1 | brief:1 | intervention:1 | work:1 | social:1 | workers:1 | meaningful:1 | use:1 | short:1 | client:1 | contact:1,doing employment:1 | employment based:1 | based practicum:1 | practicum able:1 | able hours:1 | hours working:1 | working helped:1 | helped profession:1 | learned brief:1 | brief intervention:1 | intervention work:1 | work social:1 | social workers:1 | workers meaningful:1 | meaningful use:1,than:2 | ethics:1 | working:1 | under:1 | tribal:1 | politics:1 | follow:1 | cases:1 | longer:1 | rather:1 | seeing:1 | short:1 | term:1 | needs:1 | honestly:1 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1,ethics working:1 | working under:1 | under tribal:1 | tribal politics:1 | follow cases:1 | cases longer:1 | longer rather:1 | rather than:1 | than seeing:1 | seeing short:1 | short term:1 | term needs:1 | honestly wanted:1 | wanted direct:1 | direct practice:1,4.0,3.67,3.67,3.33,4.0,3.67,3.67,4.0,4.0,3.0,4.0,4.0,4.67,4.67,0.4155,0.101,0.3403,89.82,88.98,94.42,92.42,91.92,90.94,92.8,91.89,90.55
southern piegan health center,Southern Piegan Health Center,3,sufficient,4.07,4.0,stable,22.3,0.67,0.2928,90.23,1,no flag,no flag,0.7232,-0.4288,33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0,learn:2 | agency:1 | completed:1 | practicum:1 | ability:1 | mistakes:1 | without:1 | judgment:1 | staff:1 | supportive:1 | goals:1 | appreciated:1 | resource:1 | linkage:1 | shift:1 | handoff:1 | hotline:1 | support:1 | debrief:1 | biggest:1,agency completed:1 | completed practicum:1 | practicum ability:1 | ability mistakes:1 | mistakes learn:1 | learn without:1 | without judgment:1 | judgment staff:1 | staff supportive:1 | supportive goals:1 | appreciated learn:1 | learn resource:1 | resource linkage:1 | linkage shift:1 | shift handoff:1,negative:1 | encountered:1 | practicum:1 | training:1 | thin:1 | expected:1 | figure:1 | out:1 | own:1 | frustration:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1,negative encountered:1 | encountered practicum:1 | training thin:1 | thin expected:1 | expected figure:1 | figure out:1 | out own:1 | frustration shadowing:1 | shadowing needed:1,3.67,4.0,4.33,3.67,3.67,3.33,4.0,3.67,3.67,3.0,4.0,3.67,4.67,5.0,0.1267,0.7213,0.3216,90.49,91.53,88.86,89.92,88.93,90.41,90.47,92.13,89.34
the webb schools,The Webb Schools,6,sufficient,4.07,4.6,improving,22.2,0.67,0.3433,89.39,1,no flag,no flag,0.5881,0.1066,66.7,16.7,16.7,33.3,0.0,16.7,0.0,16.7,33.3,16.7,0.0,0.0,doing:3 | support:3 | biggest:2 | help:2 | brought:2 | instead:2 | tasks:2 | appreciated:2 | learn:2 | debrief:2 | counseling:2 | supervision:1 | melanie:1 | eric:1 | provided:1 | extremely:1 | showed:1 | genuine:1 | interest:1 | helping:1,help brought:2 | instead doing:2 | doing support:2 | support tasks:2 | appreciated learn:2 | supervision melanie:1 | melanie eric:1 | eric provided:1 | provided extremely:1 | extremely showed:1 | showed genuine:1 | genuine interest:1 | interest helping:1 | helping grow:1 | grow dedicated:1,msw:2 | wish:2 | frustration:2 | wanted:2 | practice:2 | hardest:2 | experience:2 | didn:1 | natural:1 | opportunities:1 | diagnostic:1 | work:1 | structure:1 | counseling:1 | center:1 | meant:1 | intentional:1 | supervisor:1 | scheduling:1 | over:1,didn natural:1 | natural opportunities:1 | opportunities diagnostic:1 | diagnostic work:1 | work structure:1 | structure counseling:1 | counseling center:1 | center meant:1 | meant intentional:1 | intentional msw:1 | msw supervisor:1 | supervisor scheduling:1 | scheduling over:1 | over dsm:1 | dsm wish:1,3.33,3.83,3.83,3.67,3.67,3.33,3.67,3.5,3.5,3.5,3.5,3.83,4.67,4.83,0.5574,0.1956,0.2689,85.22,89.98,90.84,89.63,89.54,89.39,90.93,91.21,87.8
oregon aids education & training center,Oregon Aids Education & Training Center,5,sufficient,4.08,,stable,17.8,0.6,0.2045,90.56,1,no flag,no flag,0.2923,-0.0046,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,80.0,40.0,40.0,0.0,learning:2 | intervention:2 | evaluation:2 | work:2 | public:2 | health:2 | complete:1 | assessments:1 | translate:1 | goals:1 | practicum:1 | see:1 | assessment:1 | together:1 | exposure:1 | learned:1 | immersed:1 | advocacy:1 | included:1 | life:1,public health:2 | learning complete:1 | complete assessments:1 | assessments translate:1 | translate intervention:1 | intervention goals:1 | goals practicum:1 | practicum see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1 | evaluation work:1 | work together:1 | exposure public:1 | learned immersed:1,travel:1 | logistics:1 | occasionally:1 | took:1 | away:1 | direct:1 | learning:1 | good:1 | nothing:1 | frustration:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | placement:1 | useful:1 | client:1 | contact:1 | limited:1,travel logistics:1 | logistics occasionally:1 | occasionally took:1 | took away:1 | away direct:1 | direct learning:1 | frustration shadowing:1 | shadowing needed:1 | placement useful:1 | useful client:1 | client contact:1 | contact limited:1 | limited than:1 | than expected:1,3.4,3.8,4.0,3.2,3.8,3.6,3.6,3.6,3.6,3.6,3.8,4.0,4.4,4.6,0.4348,0.0,0.2998,85.34,92.98,95.23,91.55,88.65,89.49,92.21,90.93,88.62
